id,title,course,contributor,resource_type,release_tier,public_url_status,visibility,payload_state,local_onedrive_path,public_url_to_fill,public_link_released_at_to_fill,next_action
ads2-hal-2022-2023,ADS2 Hal Materials,ADS2,Hal,course_package,large_archive,pending,pending_review,payload unavailable,LARGE_ARCHIVES/COURSES/Year2/ADS2/Hal/ads2_hal_2022_2023,,,hydrate or restore local payload before sharing
bg2-hal-2022-2023,BG2 Hal Materials,BG2,Hal,course_package,large_archive,pending,pending_review,payload unavailable,LARGE_ARCHIVES/COURSES/Year2/BG2/Hal/bg2_hal_2022_2023,,,hydrate or restore local payload before sharing
bia4-hal-2024-2025,BIA4 Hal Materials,BIA4,Hal,course_package,large_archive,pending,pending_review,payload unavailable,LARGE_ARCHIVES/COURSES/Year4/BIA4/Hal/bia4_hal_2024_2025,,,hydrate or restore local payload before sharing
bmi3-hal-2023-2024,BMI3 Hal Materials,BMI3,Hal,course_package,large_archive,pending,pending_review,payload unavailable,LARGE_ARCHIVES/COURSES/Year3/BMI3/Hal/bmi3_hal_2023_2024,,,hydrate or restore local payload before sharing
cbsb3-hal-2023-2024,CBSB3 Hal Materials,CBSB3,Hal,course_package,large_archive,pending,pending_review,payload unavailable,LARGE_ARCHIVES/COURSES/Year3/CBSB3/Hal/cbsb3_hal_2023_2024,,,hydrate or restore local payload before sharing
chem1-hal-2021-2022,CHEM1 Hal Materials,CHEM1,Hal,course_package,large_archive,pending,pending_review,payload unavailable,LARGE_ARCHIVES/COURSES/Year1/CHEM1/Hal/chem1_hal_2021_2022,,,hydrate or restore local payload before sharing
dst2-hal-2022-2023,DST2 Hal Materials,DST2,Hal,course_package,large_archive,pending,pending_review,payload unavailable,LARGE_ARCHIVES/COURSES/Year2/DST2/Hal/dst2_hal_2022_2023,,,hydrate or restore local payload before sharing
gp2-hal-2022-2023,GP2 Hal Materials,GP2,Hal,course_package,large_archive,pending,pending_review,payload unavailable,LARGE_ARCHIVES/COURSES/Year2/GP2/Hal/gp2_hal_2022_2023,,,hydrate or restore local payload before sharing
ibi1-hal-2021-2022,IBI1 Hal Materials,IBI1,Hal,course_package,large_archive,pending,pending_review,payload unavailable,LARGE_ARCHIVES/COURSES/Year1/IBI1/Hal/ibi1_hal_2021_2022,,,hydrate or restore local payload before sharing
ibms1-hal-2021-2022,IBMS1 Hal Materials,IBMS1,Hal,course_package,large_archive,pending,pending_review,payload unavailable,LARGE_ARCHIVES/COURSES/Year1/IBMS1/Hal/ibms1_hal_2021_2022,,,hydrate or restore local payload before sharing
ibms3-hal-2023-2024,IBMS3 Hal Materials,IBMS3,Hal,course_package,large_archive,pending,pending_review,payload unavailable,LARGE_ARCHIVES/COURSES/Year3/IBMS3/Hal/ibms3_hal_2023_2024,,,hydrate or restore local payload before sharing
ibms4-hal-2024-2025,IBMS4 Hal Materials,IBMS4,Hal,course_package,large_archive,pending,pending_review,payload unavailable,LARGE_ARCHIVES/COURSES/Year4/IBMS4/Hal/ibms4_hal_2024_2025,,,hydrate or restore local payload before sharing
icmb1-hal-2021-2022,ICMB1 Hal Materials,ICMB1,Hal,course_package,large_archive,pending,pending_review,payload unavailable,LARGE_ARCHIVES/COURSES/Year1/ICMB1/Hal/icmb1_hal_2021_2022,,,hydrate or restore local payload before sharing
ifbs2-hal-2022-2023,IFBS2 Hal Materials,IFBS2,Hal,course_package,large_archive,pending,pending_review,payload unavailable,LARGE_ARCHIVES/COURSES/Year2/IFBS2/Hal/ifbs2_hal_2022_2023,,,hydrate or restore local payload before sharing
iid4-hal-2024-2025,IID_4 Hal Materials,IID_4,Hal,course_package,large_archive,pending,pending_review,payload unavailable,LARGE_ARCHIVES/COURSES/Year4/IID_4/Hal/iid4_hal_2024_2025,,,hydrate or restore local payload before sharing
math1-hal-calculus-2021-2022,MATH1 Calculus Materials,MATH1,Hal,course_package,large_archive,pending,pending_review,payload unavailable,LARGE_ARCHIVES/COURSES/Year1/MATH1/Hal/math1_hal_calculus_2021_2022,,,hydrate or restore local payload before sharing
math1-hal-statistics-2021-2022,MATH1 Statistics Materials,MATH1,Hal,course_package,large_archive,pending,pending_review,payload unavailable,LARGE_ARCHIVES/COURSES/Year1/MATH1/Hal/math1_hal_statistics_2021_2022,,,hydrate or restore local payload before sharing
mbe3-hal-2023-2024,MBE3 Hal Materials,MBE3,Hal,course_package,large_archive,pending,pending_review,payload unavailable,LARGE_ARCHIVES/COURSES/Year3/MBE3/Hal/mbe3_hal_2023_2024,,,hydrate or restore local payload before sharing
pon3-hal-2023-2024,PoN3 Hal Materials,PoN3,Hal,course_package,large_archive,pending,pending_review,payload unavailable,LARGE_ARCHIVES/COURSES/Year3/PoN3/Hal/pon3_hal_2023_2024,,,hydrate or restore local payload before sharing
zip-bg-maps-xiaoran-etal,BG导图合集_lxrwyqlxf,BG2,Xiaoran_etal,folder_bundle,large_archive,pending,pending_review,payload unavailable,LARGE_ARCHIVES/COURSES/Year2/BG2/Xiaoran_etal/BG导图合集_lxrwyqlxf,,,hydrate or restore local payload before sharing
zip-ifbs-mindmap-xiaoran-etal,思维导图IFBS_lxr,IFBS2,Xiaoran_etal,folder_bundle,large_archive,pending,pending_review,payload unavailable,LARGE_ARCHIVES/COURSES/Year2/IFBS2/Xiaoran_etal/思维导图IFBS_lxr,,,hydrate or restore local payload before sharing
zip-in-lxfwyqlxr,IN_lxfwyqlxr,IN3_full,Xiaoran_etal,folder_bundle,large_archive,pending,pending_review,payload unavailable,LARGE_ARCHIVES/COURSES/Year3/IN3_full/Xiaoran_etal/IN_lxfwyqlxr,,,hydrate or restore local payload before sharing
zip-mbe-lxrwyalxf,MBE_lxrwyalxf,MBE3,Xiaoran_etal,folder_bundle,core,pending,pending_review,payload unavailable,COURSES/Year3/MBE3/Xiaoran_etal/MBE_lxrwyalxf,,,hydrate or restore local payload before sharing
zip-pon-review-lxrwyqlxf,pon复习资料_lxrwyqlxf,PoN3,Xiaoran_etal,folder_bundle,core,pending,pending_review,payload unavailable,COURSES/Year3/PoN3/Xiaoran_etal/pon复习资料_lxrwyqlxf,,,hydrate or restore local payload before sharing
zip-ifbs-theme34-yue,IFBS（theme34),IFBS2,Yue,folder_bundle,core,pending,pending_review,ready for review,COURSES/Year2/IFBS2/Yue/IFBS（theme34),,,paste public URL
zip-pon-yue,pon,PoN3,Yue,folder_bundle,core,pending,pending_review,ready for review,COURSES/Year3/PoN3/Yue/pon,,,paste public URL
zip-bg2-sum-yiru,BG2_sum_Yiru,BG2,Yiru,folder_bundle,core,pending,pending_review,ready for review,COURSES/Year2/BG2/Yiru/BG2_sum_Yiru,,,paste public URL
zip-code-cheatsheet-yiru,Code_Cheatsheet_Yiru,Code_Cheatsheet,Yiru,folder_bundle,core,pending,pending_review,ready for review,COURSES/Resources/Code_Cheatsheet/Yiru/Code_Cheatsheet_Yiru,,,paste public URL
zip-gp2-sum-yiru,GP2_sum_Yiru,GP2,Yiru,folder_bundle,core,pending,pending_review,ready for review,COURSES/Year2/GP2/Yiru/GP2_sum_Yiru,,,paste public URL
zip-ibms3-full-yiru,IBMS3_full_Yiru,IBMS3,Yiru,folder_bundle,core,pending,pending_review,ready for review,COURSES/Year3/IBMS3/Yiru/IBMS3_full_Yiru,,,paste public URL
